CPU Name,Rating,Rank,Num Thread Execution units,Avg Speed,Stock Speed,Samples,Single Thread,maxTDP,turbospeed,cores per cpu,logicals per core,CPU First Seen in Charts,class,Other Names,URL (https://www.cpubenchmark.net/)
AMD EPYC 7643,76455,29,96,2421,2300,11,2695,225,3600,48,2,3/19/2021,Server,AMD EPYC 7643 48-Core Processor,cpu.php?cpu=AMD+EPYC+7643&id=4205
[Dual CPU] AMD EPYC 7413,74417,30,96,2650,2650,5,2201,180,3600,24,2,5/21/2021,Server,AMD EPYC 7413 24-Core Processor,cpu.php?cpu=AMD+EPYC+7413&id=4346&cpuCount=2
[Dual CPU] AMD EPYC 7542,72534,31,128,2984,2900,6,1996,225,3400,32,2,11/14/2019,Server,AMD EPYC 7542 32-Core Processor,cpu.php?cpu=AMD+EPYC+7542&id=3604&cpuCount=2
[Dual CPU] Intel Xeon Gold 6336Y @ 2.40GHz,72276,32,96,3597,2400,2,2532,185,3600,24,2,8/17/2021,Server,Intel(R) Xeon(R) Gold 6336Y CPU @ 2.40GHz,cpu.php?cpu=Intel+Xeon+Gold+6336Y+%40+2.40GHz&id=4484&cpuCount=2
AMD EPYC 7702,71677,33,128,1996,2000,15,2098,200,3350,64,2,5/8/2020,Server,AMD EPYC 7702 64-Core Processor,cpu.php?cpu=AMD+EPYC+7702&id=3719
AMD EPYC 7662,71576,34,128,2000,2000,1,2054,225,3300,64,2,4/6/2021,Server,AMD EPYC 7662 64-Core Processor,cpu.php?cpu=AMD+EPYC+7662&id=4251
AMD EPYC 7742,68749,35,128,2248.25,2250,10,2145,225,3400,64,2,9/13/2019,Server,AMD EPYC 7742 64-Core Processor,cpu.php?cpu=AMD+EPYC+7742&id=3547
[Dual CPU] Intel Xeon Platinum 8352Y @ 2.20GHz,68643,36,128,2200,2200,1,1913,205,,32,2,7/31/2021,Server,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,cpu.php?cpu=Intel+Xeon+Platinum+8352Y+%40+2.20GHz&id=4465&cpuCount=2
AMD EPYC 75F3,68505,37,64,2944,2950,1,2775,280,4000,32,2,6/24/2021,Server,AMD EPYC 75F3 32-Core Processor,cpu.php?cpu=AMD+EPYC+75F3&id=4416
AMD EPYC 7543P,67733,38,64,2800,2800,14,2758,225,3700,32,2,9/1/2021,Server,AMD EPYC 7543P 32-Core Processor,cpu.php?cpu=AMD+EPYC+7543P&id=4508
[Dual CPU] Intel Xeon Platinum 8275CL @ 3.00GHz,66812,39,96,1199,3000,1,2375,,,24,2,12/7/2019,Server,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,cpu.php?cpu=Intel+Xeon+Platinum+8275CL+%40+3.00GHz&id=3624&cpuCount=2
[Dual CPU] AMD EPYC 7352,66239,40,96,2300,2300,1,2051,155,3200,24,2,8/23/2021,Server,AMD EPYC 7352 24-Core Processor,cpu.php?cpu=AMD+EPYC+7352&id=4500&cpuCount=2
